C01353	C01353	C(=O)(O)O
C00058	C00058	C([H])(=O)O
C00148	C00148	C1N[C@H](C(=O)O)CC1
C00536	C00536	O(P(=O)(O)O)P(=O)(O)OP(=O)(O)O
C11038	C11038	OP(OP(=O)(O)OC[C@@H]1[C@@H](O)C[C@@H](O1)N1C(=O)N=C(N)C(CO)=C1)(=O)O
C11039	C11039	OP(OP(OP(=O)(O)OC[C@@H]1[C@@H](O)C[C@@H](O1)N1C(=O)N=C(N)C(CO)=C1)(=O)O)(=O)O
C03997	C03997	[C@H]1(N2C=C(CO)C(N)=NC2=O)C[C@@H]([C@@H](COP(O)(=O)O)O1)O
C02306	C02306	P(=O)(O)(O)N
C00192	C00192	NO
C00288	C00288	C(=O)([O-])O
C00169	C00169	P(=O)(O)(O)OC(=O)N
C01326	C01326	C(#N)[H]
C05361	C05361	NN
C00015	C00015	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O
C00105	C00105	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O
C00075	C00075	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O
C00016	C00016	N1C(=O)C2=NC3=CC(C)=C(C)C=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](O)[C@@H]3O)C2=NC1=O
C00018	C00018	C1(COP(=O)(O)O)=CN=C(C)C(O)=C1C=O
C00250	C00250	C1(C=O)C(O)=C(N=CC=1CO)C
C00019	C00019	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O
C00170	C00170	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSC)O1)O
C00263	C00263	[C@@H](N)(C(=O)O)CCO
C00073	C00073	[C@H](N)(CCSC)C(=O)O
C01137	C01137	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CCCN)O1)O
C01234	C01234	C1(N)(CC1)C(=O)O
C02926	C02926	C1OC(=O)C(N)C1
C00130	C00130	N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
C00147	C00147	C12N=CNC=1N=CN=C2N
C00117	C00117	P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H]1O)O |a:6,9,11,w:8|
C00212	C00212	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O
C06197	C06197	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=NC4C(N)=NC=NC3=4)O2)O)O1)O
C00054	C00054	N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@@H]([C@@H](OP(=O)(O)O)[C@H]1O)COP(=O)(O)O
C00119	C00119	[C@@H]1(OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
C00021	C00021	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O
C00155	C00155	OC(=O)[C@@H](N)CCS
C03431	C03431	N1(C2N=CN=C(O)C=2N=C1)[C@H]1[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O
C03539	C03539	OC1[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O |w:1,a:2,4,5,10|
C06393	C06393	C(N)(CN)C(=O)O
C00022	C00022	CC(=O)C(=O)O
C00256	C00256	[C@@H](O)(C)C(O)=O
C00074	C00074	O(P(O)(=O)O)C(=C)C(=O)O
C00546	C00546	C(=O)(C)C=O
C00227	C00227	P(=O)(O)(O)OC(=O)C
C00024	C00024	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C03015	C03015	[C@@H](N)(C(=O)O)COC(=O)N
C00149	C00149	[C@@H](O)(C(=O)O)CC(=O)O
C00497	C00497	[C@H](O)(C(=O)O)CC(=O)O
C03248	C03248	C(=O)(O)C#CC(=O)O
C03981	C03981	C(/O)(\C(=O)O)=C/C(=O)O
C00065	C00065	[C@H](N)(CO)C(=O)O
C00740	C00740	[C@@H](N)(CO)C(=O)O
C00716	C00716	C(N)(CO)C(=O)O
C00033	C00033	C(=O)(O)C
C00083	C00083	C(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C05993	C05993	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C)O1)O
C01011	C01011	C([C@@](O)(C)C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C00025	C00025	[C@@H](N)(C(=O)O)CCC(=O)O
C03287	C03287	P(O)(O)(=O)OC(=O)CC[C@H](N)C(=O)O
C00026	C00026	C(=O)(C(=O)O)CCC(O)=O
C01165	C01165	OC(=O)[C@@H](N)CCC=O
C01879	C01879	C1(=O)N[C@H](C(=O)O)CC1
C00064	C00064	[C@@H](N)(C(=O)O)CCC(=O)N
C05829	C05829	OC(=O)CC[C@H](NC(=O)N)C(=O)O
C00857	C00857	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H]([N+]3=CC=CC(C(=O)O)=C3)O2)O)O1)O
C00041	C00041	OC(=O)[C@@H](N)C
C00624	C00624	OC(=O)CC[C@H](NC(=O)C)C(=O)O
C00217	C00217	[C@H](N)(C(=O)O)CCC(=O)O
C00334	C00334	C(CCN)C(=O)O
C03618	C03618	[C@@H](C)(C(O)=O)[C@H](N)C(=O)O
C00433	C00433	C(=O)(CCC=O)C(=O)O
C00091	C00091	C(CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C00311	C00311	C(C(=O)O)(CC(=O)O)C(O)C(=O)O
C05379	C05379	O=C(O)CC(C(O)=O)C(=O)C(=O)O
C00940	C00940	OC(=O)C(=O)CCC(=O)N
C01251	C01251	OC(=O)CC[C@](O)(C(O)=O)CC(=O)O
C00232	C00232	C(CC=O)C(=O)O
C00704	C00704	[O-][O] |^1:1|
C00647	C00647	C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CN
