P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
OO.[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R00113	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R00118	P(=O)(O)(O)O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C(=O)O)=CN=CC=C1	R00119	C1(C(=O)N)=CN=CC=C1.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2C=CC=C(C(=O)O)C=2)O1)O)N1C=NC2C(N)=NC=NC1=2
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O	R00122	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O	R00123	N([H])([H])[H].N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O	R00126	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=NC4C(N)=NC=NC3=4)O2)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R00128	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R00129	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)O	R00130	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O
C(=O)(O)O	R00132	O([H])[H].C(=O)=O
