P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
C(=O)(CO)C(=O)O	R01393	C(=O)=O.C(O)C=O
C(=O)(CO)C(=O)O	R01394	C(O)(C=O)C(O)=O
P(=O)(O)(O)OC(=O)N.[C@@H](N)(C(=O)O)CCCCN	R01396	P(=O)(O)(O)O.NC(=O)NCCCC[C@H](N)C(=O)O
P(=O)(O)(O)OC(=O)N.OC(=O)[C@@H](N)CC(=O)O	R01397	P(=O)(O)(O)O.OC(=O)[C@@H](NC(=O)N)CC(=O)O
P(=O)(O)(O)OC(=O)N.[C@H](N)(CCCN)C(=O)O	R01398	P(=O)(O)(O)O.C([C@H](N)C(=O)O)CCNC(=O)N
P(=O)(O)(O)OC(=O)N.C(CN)CCN	R01399	P(=O)(O)(O)O.NCCCCNC(=O)N
O([H])[H].[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSC)O1)O	R01401	C12N=CNC=1N=CN=C2N.[C@H]1(CSC)OC([C@H](O)[C@@H]1O)O |a:0,6,8,w:5|
P(=O)(O)(O)O.[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSC)O1)O	R01402	C12N=CNC=1N=CN=C2N.[C@@H]1(OP(=O)(O)O)[C@H](O)[C@@H]([C@@H](CSC)O1)O
C([H])(=O)N	R01408	O([H])[H].C(#N)[H]
O([H])[H].C1(N)=NC(NC=C1C)=O	R01411	N([H])([H])[H].C1(=O)NC(NC=C1C)=O
O=O.C(=O)(C(=O)O)CCC(O)=O.C1(=O)NC(NC=C1C)=O	R01412	C(=O)=O.OC(=O)CCC(=O)O.C1(CO)=CNC(=O)NC1=O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(=O)NC(NCC1C)=O	R01414	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(=O)NC(NC=C1C)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(=O)NC(NC[C@H]1C)=O	R01415	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(=O)NC(NC=C1C)=O
O([H])[H].C(CCCN)NC(=N)N	R01416	N([H])([H])[H].NCCCCNC(=O)N
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(CCCN)NC(=N)N	R01417	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.NCCCCNC(=N)NP(O)(O)=O
C(=O)(N)N.C(CCCN)NC(=N)N	R01418	O([H])[H].NC(=N)NCCCCNC(=N)N
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(C=O)C=CC=CC=1	R01419	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(C(=O)O)C=CC=CC=1
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C=O)C=CC=CC=1	R01420	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C(=O)O)C=CC=CC=1
O([H])[H].C1(=CC=CC=C1)C(=O)OP(=O)(O)O	R01421	P(=O)(O)(O)O.C1(C(=O)O)C=CC=CC=1
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C1(C(=O)O)C=CC=CC=1	R01422	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C1(C=CC=CC=1)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C2=CC=CC=C2)O1)O	R01423	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C1(C(=O)O)C=CC=CC=1
O([H])[H].C1C(C(=O)NCC(=O)O)=CC=CC=1	R01424	C(=O)(O)CN.C1(C(=O)O)C=CC=CC=1
O([H])[H].C1C=C(C(=O)NCCCCNC(=N)N)C=CC=1	R01425	C(CCCN)NC(=N)N.C1(C(=O)O)C=CC=CC=1
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H]1(O)[C@H](O)COC(O)[C@@H]1O |a:0,2,8,w:6|	R01429	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H]1(O)[C@H](O)COC(=O)[C@@H]1O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(O)[C@H](O)COC(O)[C@@H]1O |a:0,2,8,w:6|	R01430	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(O)[C@H](O)COC(=O)[C@@H]1O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.OC[C@H](O)[C@@H](O)[C@H](O)CO	R01431	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(O)[C@H](O)COC(O)[C@@H]1O |a:0,2,8,w:6|
[C@H]1(O)[C@H](O)COC(O)[C@@H]1O |a:0,2,8,w:6|	R01432	C1(O)(CO)OC[C@@H](O)[C@@H]1O |w:0,a:6,8|
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@H](N)(C(=O)O)C(C)C	R01434	[H+].N([H])([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(=O)(C(=O)O)C(C)C
[C@@H](N)(C(=O)O)C(C)C	R01437	C(=O)=O.C(C)(C)CN
C=O.[C@@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O	R01440	O=C[C@H](O)COP(O)(=O)O.C(=O)(CO)CO
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01441	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1([C@H](O)[C@H]([C@H](O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](COP(=O)(O)O)O1)O
O=O.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01442	OO.[C@@H]1([C@H](O)[C@H](C(=O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
O([H])[H].[C@@H]1([C@H](O)[C@H]([C@H](O[C@H]2[C@H](O)[C@H](C(O)O[C@@H]2CO)O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,4,6,7,9,13,18,23,24,26,27,29,w:10|	R01444	[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|
[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01445	[C@@H]1([C@H](O)[C@@H]([C@H](O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H](O)(C)C=O	R01446	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H](O)(C)C(=O)O
[C@H](O)(C)C(=O)O.OC(=O)CC(=O)C(=O)O	R01447	CC(=O)C(=O)O.[C@@H](O)(C(=O)O)CC(=O)O
O([H])[H].OC(=O)[C@@H](C)OS(=O)(=O)O	R01448	S(O)(O)(=O)=O.[C@@H](O)(C)C(O)=O
C(=O)(O)CC.C(O)(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R01449	[C@H](O)(C)C(=O)O.C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
[C@H](O)(C)C(=O)O	R01450	[C@@H](O)(C)C(O)=O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01451	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@@]12([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC=C21
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01452	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@]123C[C@H](CC[C@]1(C)[C@@]1([H])CC[C@]4(C)[C@]([H])(CC[C@@]4([H])[C@]1([H])C[C@@H]2O3)[C@H](C)CCCC(C)C)O
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01453	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]123C[C@H](CC[C@]1(C)[C@@]1([H])CC[C@]4(C)[C@]([H])(CC[C@@]4([H])[C@]1([H])C[C@H]2O3)[C@H](C)CCCC(C)C)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01456	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC=C21
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01457	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@]([H])(C)CC/C=C(\C)/C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]
O=O.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]	R01459	OO.C1C[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@]([H])([C@H](C)CCCC(C)C)CC[C@@]4([H])[C@]3([H])CCC2=CC1=O
O([H])[H].[C@@]12([H])CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@]([H])(CC[C@@]21[H])[C@]([H])(C)CCCC(C)C)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R01460	[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.OC(=O)[C@@H](N)[C@H](O)C	R01465	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@@H](N)(C(=O)O)C(=O)C
O([H])[H].C(OP(=O)(O)O)C[C@H](N)C(=O)O	R01466	P(=O)(O)(O)O.OC(=O)[C@@H](N)[C@H](O)C
OC(=O)[C@@H](N)[C@H](O)C	R01467	OC(=O)[C@H](N)[C@@H](O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(N)CO	R01468	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.O(CCN)P(=O)(O)O
O([H])[H].O=O.C(N)CO	R01469	OO.N([H])([H])[H].C(O)C=O
O([H])[H].O(C[C@H](O)CO)P(=O)(O)OCCN	R01470	C(N)CO.OC[C@@H](O)COP(O)(=O)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.P(=O)(O)(O)O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O	R01471	P(=O)(O)(O)OP(=O)(O)O.C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O
C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O	R01473	C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(C(=O)O)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,6,8,10,w:5|	R01476	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1(OP(O)(O)=O)[C@H](O)[C@H]([C@H](O)[C@@H](C(=O)O)O1)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O	R01481	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(C(=O)O)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,6,8,10,w:5|
[C@H]1(C(=O)O)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,6,8,10,w:5|	R01482	C1(O)(CO)O[C@@H]([C@@H](O)[C@@H]1O)C(=O)O |w:0,a:5,6,8|
O([H])[H].[C@@H]1(O)C(=O)O[C@]([H])([C@@H](O)C=O)[C@@H]1O	R01483	[C@H]1(C(=O)O)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,6,8,10,w:5|
O([H])[H].[C@@H]1(C=O)OC([C@@H](O)[C@@H](O)[C@@H]1O)=O	R01484	[C@H]1(C(=O)O)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,6,8,10,w:5|
[C@@H](N)(C(=O)O)CC(=O)N.NO	R01485	N([H])([H])[H].[C@H](N)(CC(=O)NO)C(=O)O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(C=O)C=CC=CC=1	R01486	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(C(=O)O)C=CC=CC=1
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(CO)C=CC=CC=1	R01487	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(C=O)C=CC=CC=1
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(CO)C=CC=CC=1	R01488	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C=O)C=CC=CC=1
O([H])[H].O=O.C1(C=O)C=CC=CC=1	R01489	OO.C1(C(=O)O)C=CC=CC=1
P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C=O)C=CC=CC=1	R01490	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(C(=O)O)C=CC=CC=1
O=O.C1(CO)C=CC=CC=1	R01491	OO.C1(C=O)C=CC=CC=1
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[Co]N1C2=C(C3[C@H](C(C)(C)C(=CC4[C@H]([C@](C)(CC(=O)N)C(=C(C)C5[C@H]([C@](C)(CC(=O)N)[C@@](C1[C@@H]([C@@]2(C)CCC(=O)NC[C@H](OP(=O)(O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C2C=C(C(C)=CC=2N=C1)C)C)CC(=O)N)(C)N=5)CCC(=O)N)N=4)CCC(=O)N)N=3)CCC(=O)N)C |c:2,19,t:9|	R01492	O(P(=O)(O)O)P(=O)(O)OP(=O)(O)O.[Co+](C[C@@H]1[C@@H](O)[C@H]([C@H](N2C=NC3C(N)=NC=NC2=3)O1)O)N1C2=C(C3[C@H](C(C)(C)C(=CC4[C@H]([C@](C)(CC(=O)N)C(=C(C)C5[C@H]([C@](C)(CC(=O)N)[C@@](C1[C@@H]([C@@]2(C)CCC(=O)NC[C@H](OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C2C=C(C(C)=CC=2N=C1)C)C)CC(=O)N)(C)N=5)CCC(=O)N)N=4)CCC(=O)N)N=3)CCC(=O)N)C |c:23,40,t:30|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C1(=CC=CC(O)=C1O)C(=O)O	R01504	P(=O)(O)(O)OP(=O)(O)O.N1(C2N=CN=C(N)C=2N=C1)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C2=CC=CC(O)=C2O)O1)O
