OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H]([C@@H]([C@H]1CNC2=NC(=NC(=O)C2=N1)N)O)O	R01794	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H]([C@@H]([C@H]1CNC2=C(C(=O)NC(=N2)N)N1)O)O
O=O.C1=CC=C(C=C1)C[C@@H](C(=O)O)N.C[C@@H]([C@@H]([C@H]1CNC2=C(C(=O)NC(=N2)N)N1)O)O	R01795	O.C1=C(C=CC(=C1)O)C[C@@H](C(=O)O)N.C[C@@H]([C@@H]([C@H]1CNC2=NC(=NC(=O)C2=N1)N)O)O
OP(=O)(O)O.CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	R01804	O.C=C(C(=O)O)OP(=O)(O)O.CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](CO)OC1O)O)O
O.CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](COP(=O)(O)O)O)O)O	R01805	OP(=O)(O)O.CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O
CC(=O)[O-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	R01806	[OH-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)OC(=O)C
CC(=O)[O-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	R01807	[OH-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)OC(=O)C)O
CC(=O)[O-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	R01808	[OH-].CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](COC(=O)C)O)O)O
CC(=O)N[C@@H]1[C@H](CC(C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	R01811	CC(=O)C(=O)O.CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](CO)OC1O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H]([C@@H]([C@H]1CNC2=C(C(=O)NC(=N2)N)N1)O)O	R01813	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(C(=O)C1CNC2=C(C(=O)NC(=N2)N)N1)O
O=O.C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N.C[C@@H]([C@@H]([C@H]1CNC2=C(C(=O)NC(=N2)N)N1)O)O	R01814	O.C[C@@H]([C@@H]([C@H]1CNC2=NC(=NC(=O)C2=N1)N)O)O.C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
O=O.C1=C(C=CC(=C1)O)C[C@@H](C(=O)O)N.C[C@@H]([C@@H]([C@H]1CNC2=C(C(=O)NC(=N2)N)N1)O)O	R01815	O.C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)O.C[C@@H]([C@@H]([C@H]1CNC2=NC(=NC(=O)C2=N1)N)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O	R01817	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@@H]1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O)OP(=O)(O)O	R01818	C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O
C([C@@H]1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O)OP(=O)(O)O	R01819	C([C@@H]1[C@H]([C@@H]([C@](CO)(O)O1)O)O)OP(=O)(O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O	R01825	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@H]([C@H](C(=O)O)O)O)OP(=O)(O)O
O.C=C(C(=O)O)OP(=O)(O)O.C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O	R01826	OP(=O)(O)O.C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C(=O)C(=O)O
C(=O)[C@@H](COP(=O)(O)O)O.C(C(=O)[C@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O	R01827	C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@](CO)(O)O1)O)O)OP(=O)(O)O
C([C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O	R01829	C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O.C(C(=O)COP(=O)(O)O)O
C(=O)[C@@H](COP(=O)(O)O)O.C([C@@H]1[C@H]([C@@H]([C@](CO)(O)O1)O)O)OP(=O)(O)O	R01830	C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O.C(C(=O)[C@H]([C@@H](COP(=O)(O)O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@]12CCC(=O)C[C@H]2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]31	R01835	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@]12CCC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]31
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[C@@]12CCC(=O)C=C2CC[C@H]3[C@@H]4CC[C@@H]([C@@]4(C)CC[C@@H]31)O	R01836	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[C@@]12CCC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]31
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@]12CCC(=O)C=C2CC[C@H]3[C@@H]4CC[C@@H]([C@@]4(C)CC[C@@H]31)O	R01838	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@]12CCC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]31
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(C(=O)[C@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O	R01843	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@@H](C(CO)(O)O1)O)O)O)O	R01844	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(C(=O)[C@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
O.C([C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O	R01845	OP(=O)(O)O.C(C(=O)[C@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
CC(=O)[O-].S	R01850	[OH-].CC(=O)S
O.O=O.CS	R01851	OO.C=O.S
O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01855	OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01856	OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01857	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
CC(=O)C(=O)O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01858	C=C(C(=O)O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(=O)(O)[O-].CCC(=O)[O-]	R01859	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@@H](C(=O)O)C(=O)[O-]
C1=C(C=CC(=C1)N)C(=O)O	R01860	C(=O)=O.C1=CC=C(C=C1)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)OP(=O)(O)OS(=O)(=O)O.C1=CC=C(C=C1)N	R01861	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)OP(=O)(O)O.C1=CC=C(C=C1)NS(=O)(=O)[O-]
OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O)O	R01863	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O.C1=NC2=C(N1)N=CNC2=O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1[C@@H](C(=O)O)NC(=O)NC1=O	R01866	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C(=O)O)NC(=O)NC1=O
C(=C\C(=O)O)/C(=O)O.C1[C@@H](C(=O)O)NC(=O)NC1=O	R01867	C(CC(=O)O)C(=O)O.C1=C(C(=O)O)NC(=O)NC1=O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@@H](C(=O)O)NC(=O)NC1=O	R01869	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C(C(=O)O)NC(=O)NC1=O
OP(=O)(O)OP(=O)(O)O.C1=C(C(=O)O)N([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O	R01870	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O.C1=C(C(=O)O)NC(=O)NC1=O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)O)O)O	R01872	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O.C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)O)O)O	R01873	C1=C(C2=C3C(=C(C(=C2N=C1C(=O)O)O)O)C=C(C(=O)O)N3)C(=O)O.C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
O.C([C@H](C(=O)O)N)S	R01874	N.CC(=O)C(=O)O.S
OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)NC1=O	R01876	C1=CNC(=O)NC1=O.C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O
O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)OP(=O)(O)O)O)C(=O)NC1=O	R01877	OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)NC1=O
O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)N=C1N	R01878	N.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)NC1=O
O=O.C(CC(=O)O)C(=O)C(=O)O.C1=CN([C@H]2C[C@@H]([C@@H](CO)O2)O)C(=O)NC1=O	R01879	C(=O)=O.C(CC(=O)O)C(=O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)NC1=O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)C(=O)NC1=O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01880	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CN(CC(=O)O)C(=N)N	R01881	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CN(CC(=O)O)C(=N)NP(=O)(O)O
O.CN(CC(=O)O)C(=N)NP(=O)(O)O	R01882	OP(=O)(O)O.CN(CC(=O)O)C(=N)N
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(C(=O)O)NC(=N)N	R01883	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CN(CC(=O)O)C(=N)N
O.CN1CC(=O)NC1=N	R01884	CN(CC(=O)O)C(=N)N
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](O)O4)O)O	R01885	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O
O.C(C[C@@H](C(=O)O)N)CNC(=N)N[C@@H]1[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=CN=C4N)O2)O)O)O1)O)O	R01886	C(C[C@@H](C(=O)O)N)CNC(=N)N.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](O)O4)O)O
O.C(CC(=O)O)C(C#N)N	R01887	N.C(CC(=O)O)C(C(=O)O)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CN)O2)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)N)O)N	R01888	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CN)O2)O)OP(=O)(O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)N)O)N
CC(=O)[O-].C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CN)O3)O)O)N)N	R01889	[OH-].CC(=O)NC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)N)O)N)N)N)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)N=C1N.C[N+](C)(C)CCOP(=O)(O)O	R01890	OP(=O)(O)OP(=O)(O)O.C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=CC(=NC2=O)N)O1)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H]([C@@H]([C@@H](CO)O)O)O)O	R01895	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@H]([C@H](C(CO)(O)O1)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H]([C@H]([C@@H](CO)O)O)O)O	R01896	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@H]([C@@H](C(CO)(O)O1)O)O
C1[C@H]([C@@H](C(CO)(O)O1)O)O	R01898	C1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(C(C(C(=O)O)O)C(=O)O)C(=O)O	R01899	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
C(C(C(C(=O)O)O)C(=O)O)C(=O)O	R01900	O.C(=C(\CC(=O)O)/C(=O)O)/C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@H](C(CO)(O)O1)O)O	R01901	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(C(=O)[C@@H]([C@H](COP(=O)(O)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@H](C(CO)(O)O1)O)O	R01902	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@H](C(COP(=O)(O)O)(O)O1)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H]([C@H]([C@H](CO)O)O)O)O	R01903	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1[C@@H]([C@H](C(CO)(O)O1)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@@H]([C@H]([C@@H](CO)O)O)O)O	R01904	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1[C@@H]([C@H](C(CO)(O)O1)O)O
C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O	R01905	C(=O)=O.C1[C@@H]([C@H](C(CO)(O)O1)O)O
C1[C@@H]([C@H](C(CO)(O)O1)O)O	R01906	C1[C@@H]([C@H]([C@H](C(O)O1)O)O)O
C(=O)(C(=O)[O-])O	R01908	C(=O)=O.C(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC1=C(C(=C(C=N1)CO)CO)O	R01909	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CC1=C(C(=C(C=N1)COP(=O)(O)O)CO)O
O=O.CC1=C(C(=C(C=N1)CO)CO)O	R01910	OO.CC1=C(C(=C(C=N1)C=O)CO)O
OP(=O)(O)O.CC1=C(C(=C(C=N1)CO)CO)O	R01911	O.CC1=C(C(=C(C=N1)COP(=O)(O)O)CO)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.CC1=C(C(=C(C=N1)CO)CO)O	R01912	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.CC1=C(C(=C(C=N1)CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)CO)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N.C(CCNCCCN)CN	R01917	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@@H](C(=O)O)N)CN
