bt	direction	reaction	envipath_url
2218	f	888	R01519
3673	f	889	R01520
3673	f	890	R01521
3673	f	891	R01522
3673	f	893	R01524
3673	f	894	R01525
4254	f	899	R01533
3673	f	904	R01542
3568	f	905	R01543
4141	f	919	R01562
3564	f	920	R01563
3938	f	921	R01564
4141	f	925	R01569
3456	f	933	R01579
3938	f	937	R01584
4013	f	940	R01587
1196	f	950	R01604
1196	f	951	R01607
3568	f	952	R01608
1196	f	955	R01615
4215	f	963	R01628
4224.1	f	964	R01631
3469.1	f	966	R01633
2685	f	966	R01633
3151	f	967	R01634
3023	f	967	R01634
3151	f	968	R01635
3022	f	968	R01635
4173	f	969	R01636
3568	f	972	R01644
2982	f	977	R01651
4141	f	987	R01664
4141	f	990	R01667
4141	f	991	R01668
4263	f	997	R01681
3501	f	998	R01682
3938	f	999	R01683
2844	f	1003	R01689
4141	f	1004	R01690
1196	f	1009	R01704
3568	f	1011	R01708
1196	f	1012	R01709
3938	f	1013	R01710
4165.2	f	1021	R01720
1196	f	1029	R01735
3673	f	1032	R01738
3673	f	1033	R01739
3673	f	1034	R01740
3673	f	1035	R01741
3568	f	1036	R01745
3568	f	1037	R01747
4141	f	1038	R01748
1196	f	1042	R01752
3573	f	1048	R01764
3568	f	1055	R01773
3568	f	1056	R01775
3568	f	1059	R01781
4141	f	1065	R01788
4141	f	1070	R01805
3673	f	1075	R01813
3673	f	1087	R01836
3673	f	1088	R01838
4141	f	1091	R01845
4141	f	1094	R01855
4141	f	1095	R01856
3151	f	1099	R01860
3673	f	1106	R01872
4141	f	1110	R01877
4255	f	1115	R01882
4013	f	1117	R01884
4292	f	1120	R01887
3673	f	1127	R01899
3568	f	1137	R01910
4013	f	1141	R01918
3673	f	1144	R01921
3456	f	1145	R01922
1196	f	1158	R01941
4013	f	1168	R01959
3907	f	1168	R01959
4271	f	1172	R01963
4141	f	1176	R01968
3673	f	1181	R01975
3673	f	1182	R01976
3673	f	1183	R01977
3943	f	1184	R01978
1196	f	1187	R01986
4013	f	1192	R01992
4013	f	1193	R01993
3673	f	1202	R02032
3673	f	1203	R02034
2218	f	1204	R02035
3568	f	1208	R02047
4013	f	1211	R02059
3501	f	1221	R02080
4141	f	1226	R02088
4141	f	1230	R02092
4141	f	1233	R02095
4141	f	1238	R02100
4141	f	1240	R02102
4136	f	1241	R02103
4136	f	1243	R02107
1196	f	1247	R02123
3568	f	1248	R02124
1196	f	1249	R02125
4141	f	1252	R02135
4013	f	1255	R02139
4141	f	1262	R02148
3938	f	1263	R02150
4141	f	1271	R02167
3938	f	1275	R02173
3673	f	1278	R02177
3580	f	1279	R02178
1196	f	1281	R02193
3938	f	1284	R02196
3938	f	1285	R02197
3673	f	1292	R02207
3673	f	1294	R02209
1196	f	1296	R02220
4141	f	1301	R02228
4150	f	1303	R02231
3943	f	1304	R02232
3938	f	1305	R02233
3568	f	1319	R02257
3568	f	1320	R02258
3568	f	1321	R02259
4013	f	1330	R02269
3456	f	1333	R02273
4013	f	1335	R02276
4013	f	1341	R02284
3938	f	1362	R02313
3938	f	1363	R02315
3456	f	1365	R02322
4141	f	1366	R02323
4141	f	1373	R02330
3673	f	1380	R02347
3673	f	1381	R02349
3673	f	1383	R02352
3673	f	1384	R02353
4215	f	1385	R02354
4215	f	1386	R02355
2218	f	1390	R02368
4141	f	1391	R02370
