auto_transient	compound	isproduct	rclass	reaction	stoichn	stoichn_corr
False	C05422	True	True	R00068	2	2
False	C00001	True	False	R00068	2	2
False	C05856	False	True	R00072	1	1
False	C00007	False	True	R00072	1	1
False	C00001	False	False	R00072	1	1
False	C00027	True	True	R00072	1	1
False	C02892	True	True	R00072	1	1
False	C00427	False	True	R00073	1	1
False	C00028	False	False	R00073	1	1
False	C00001	False	False	R00073	1	1
False	C05956	True	True	R00073	1	1
False	C00030	True	False	R00073	1	1
False	C01987	False	True	R00074	4	4
False	C00007	False	False	R00074	3	3
False	C02161	True	True	R00074	2	2
False	C00001	True	False	R00074	6	6
False	C00019	False	True	R00075	3	3
False	C00170	True	True	R00075	3	3
False	C05324	True	False	R00075	1	1
False	C00002	False	True	R00076	4	4
False	C02308	False	False	R00076	2	2
False	C00008	True	True	R00076	4	4
False	C02307	True	False	R00076	1	1
False	C02307	False	False	R00077	1	1
False	C00001	False	False	R00077	4	4
False	C02308	True	False	R00077	2	2
False	C00009	True	False	R00077	4	4
False	C00007	False	False	R00078	1	1
False	C14818	False	True	R00078	4	4
False	C00080	False	False	R00078	4	4
False	C14819	True	True	R00078	4	4
False	C00001	True	False	R00078	2	2
False	C00007	False	False	R00083	1	1
False	C01785	False	False	R00083	4	4
False	C05309	True	False	R00083	4	4
False	C00001	True	False	R00083	2	2
False	C00931	False	True	R00084	4	4
False	C00001	False	False	R00084	1	1
False	C01024	True	True	R00084	1	1
False	C00014	True	False	R00084	4	4
False	C00002	False	True	R00085	1	1
False	C00001	False	False	R00085	2	2
False	C00020	True	True	R00085	1	1
False	C00009	True	False	R00085	2	2
False	C00002	False	True	R00086	1	1
False	C00001	False	False	R00086	1	1
False	C00008	True	True	R00086	1	1
False	C00009	True	False	R00086	1	1
False	C00002	False	True	R00087	1	1
False	C00001	False	False	R00087	1	1
False	C00020	True	True	R00087	1	1
False	C00013	True	False	R00087	1	1
False	C00002	False	True	R00088	1	1
False	C00001	False	False	R00088	1	1
False	C00081	True	True	R00088	1	1
False	C00014	True	False	R00088	1	1
False	C00002	False	True	R00089	1	1
False	C00575	True	True	R00089	1	1
False	C00013	True	False	R00089	1	1
False	C00027	False	False	R00090	1	1
False	C00004	False	True	R00090	1	1
False	C00080	False	False	R00090	1	1
False	C00003	True	True	R00090	1	1
False	C00001	True	False	R00090	2	2
False	C00003	False	True	R00092	1	1
False	C14818	False	True	R00092	2	2
False	C00004	True	True	R00092	1	1
False	C00080	True	False	R00092	1	1
False	C14819	True	True	R00092	2	2
False	C00025	False	True	R00093	2	2
False	C00003	False	True	R00093	1	1
False	C00064	True	True	R00093	1	1
False	C00026	True	True	R00093	1	1
False	C00004	True	True	R00093	1	1
