bt	direction	reaction	envipath_url
4301	f	124	153c300f-61ee-4ce7-823f-108bbf40a491
4263	f	126	15da0ed5-7988-4629-8b33-67eb2f525c90
3568	f	127	15fd30fa-3bcf-47f5-aeb5-134764376168
4215	f	129	165a3ec7-ac05-491f-ad6b-787623d3abab
3929	f	133	169ee380-9da9-48fc-9174-93b98bf69a1c
3854	f	135	16cca81b-faf5-4866-bc52-9b900ff151cb
3769	f	137	17851be0-24c3-40a1-8d86-895e81ff3f90
3571	f	138	178762e8-f2e6-4404-81e4-3725dcc22b7b
3151	f	142	18262987-0899-4794-b7e4-bbc33dfd8428
3674	f	143	1836ac99-60ae-416a-994b-044fb6260351
4212	f	144	18676199-02ee-4436-a10f-06cf8569ea25
3523	f	146	18ee3f45-310f-4b64-9991-372ecb2d0cda
3673	f	150	1920667c-16a4-446e-8bd0-27c0e989cd42
4217	f	151	19260f87-835a-4a96-8b20-b5f5b896c252
4187	f	154	1992d0af-9835-4b9f-8d07-66ba3735b0a3
3545	f	155	19b6e2fe-7f7a-4e2c-87d9-eed39b9ce641
4215	f	156	1a097593-af84-4af7-a6bc-6c10905c1ba5
3571	f	157	1aab1041-bab6-4496-806a-21818ce1b1c2
3674	f	158	1ab3e379-3fb9-4e22-a455-d490dfd3812f
3577	f	160	1ac84a1b-896a-43c0-a517-bef5d02bb953
3456	f	162	1af9aa7c-49a4-4b90-aa01-285d14e57ade
3381	f	164	1b4c0cba-3714-4ce8-bb7b-8ab838158194
3138	f	166	1be45e5f-6f3c-488f-8684-5269686caef1
4141	f	167	1c4ccd5d-0a5d-41aa-b424-1b3236842ddb
4141	f	169	1d62837c-95ea-49ed-bda5-29ec204b3bbf
3456	f	172	1e0e5b5c-ae1b-43a9-ab8d-4cad9e12d794
1196	f	173	1e23095e-620a-4571-9a25-9ebe6544d381
3648	f	174	1e31c49d-1f6a-418d-b48a-d2e01758654c
3302	f	175	1e47fe02-a09f-40ac-8387-e27a5bacb369
3488	f	177	1e5b2c43-bbac-4188-95fd-ee230a9bd9ad
3488	f	182	1ecadf5e-1aaa-47aa-954d-1718fe2cd75d
2982	f	183	1ed5290d-bf21-45af-bdb9-e04d7be77a58
3670	f	185	1f427452-0da1-4559-b5e5-70a9f4fae892
2690.1	f	185	1f427452-0da1-4559-b5e5-70a9f4fae892
3667	f	185	1f427452-0da1-4559-b5e5-70a9f4fae892
4215	f	187	200fbf05-c1d2-45d7-8f94-efc6236065b7
3824	f	188	201c50ba-a67d-4298-a1d3-d41becb4388c
3673	f	189	20464e48-82cf-4b87-9969-743e2ea8bb50
3673	f	190	20472b84-3e39-49a3-b340-17b0266ff7bf
3456	f	191	20c65fb2-b98f-4a25-a4e6-326b973e0565
3568	f	194	210b1e51-21cf-4c53-8990-d02aeaf05bdb
1196	f	196	21a02dc7-cdc0-4c1b-84bb-ba2f47ad4934
3093	f	197	21a5717e-5ff7-4207-9bc8-cd1984ad9671
3855.3	f	201	2276c751-b7be-4c72-980a-64c571984724
3557	f	202	227de71d-39ac-408a-9769-67253bfc7574
3648	f	203	22ab3b0b-2588-4bf9-ae04-96b411708aa5
4224.2	f	204	22bc7b07-dffe-48f6-b1c8-a1094f994960
3564	f	205	22e479b9-d502-470c-8416-84582a7d65b0
3211	f	206	2307cec8-c10e-414c-8077-8b6f82e13c4f
3930	f	208	234631e4-8a8c-4cec-9745-397911a5382f
3892	f	209	237c3d37-0e1b-485b-ad25-635f4b17084f
1219	f	211	23e9f6a3-b8ec-4c77-9b65-d6935a064e57
4217	f	212	23fd30bd-3a48-4cb2-95d3-afff39f6c5e5
3907	f	213	24028c04-996e-4a7e-b517-c791a45b4f7f
4013	f	213	24028c04-996e-4a7e-b517-c791a45b4f7f
4224.1	f	214	241e195c-80ec-462b-89b5-af454032658e
4081	f	215	24915d44-3adc-4aea-ba01-ac56d97939c4
